employee_id,full_name,knowledge_id
1,Иванов Алексей Сергеевич,1
1,Иванов Алексей Сергеевич,4
1,Иванов Алексей Сергеевич,5
2,Петрова Мария Владимировна,1
2,Петрова Мария Владимировна,4
2,Петрова Мария Владимировна,5
3,Сидоров Дмитрий Петрович,1
3,Сидоров Дмитрий Петрович,2
3,Сидоров Дмитрий Петрович,9
4,Козлова Анна Игоревна,5
4,Козлова Анна Игоревна,6
4,Козлова Анна Игоревна,7
5,Федоров Максим Андреевич,5
5,Федоров Максим Андреевич,6
5,Федоров Максим Андреевич,7
6,Николаева Екатерина Дмитриевна,4
6,Николаева Екатерина Дмитриевна,5
6,Николаева Екатерина Дмитриевна,10
7,Орлов Сергей Викторович,1
7,Орлов Сергей Викторович,2
7,Орлов Сергей Викторович,3
