account_id,account_number,account_type,currency,open_date,balance,client_id
1,NMLX0285915658179,дебетовый,RUB,2013-08-03,214890.65,1
2,VLXP8290524922191,дебетовый,RUB,2010-04-02,412730.88,1
3,UJFS9948141401385,дебетовый,RUB,2021-11-30,640800.87,2
4,SSGS1426520120174,кредитный,RUB,2024-06-01,516622.24,2
5,EBTQ4469888665948,кредитный,RUB,2021-05-29,478101.69,2
6,WREO2913675916449,кредитный,RUB,2003-10-17,564690.28,3
7,KGZE1801130852315,кредитный,RUB,2005-06-25,338016.82,3
8,RYFH4284022462671,дебетовый,RUB,2019-10-08,1372111.76,4
9,YFAE5342386707760,кредитный,EUR,2014-04-30,835930.14,4
10,YETX3987667408772,дебетовый,RUB,2016-08-25,382493.47,4
11,BOUK2400330510972,дебетовый,USD,2023-06-27,1270700.08,5
12,ZOZE5426541689392,дебетовый,RUB,2024-05-16,1244109.43,5
13,NYXY3985238182893,кредитный,RUB,2019-12-06,907454.17,6
14,UGVU2786807042357,дебетовый,RUB,2012-05-29,1142544.63,7
15,UHCQ9959311699213,дебетовый,RUB,2019-12-21,1304210.78,8
16,HJWO0507077508849,кредитный,RUB,1989-01-15,1363491.24,8
17,VSTT6357686621380,дебетовый,USD,1986-07-30,1443116.33,8
18,SLCT4845422595513,кредитный,USD,2007-01-10,1043439.43,9
19,WBXK9154196351109,дебетовый,RUB,2012-12-16,358996.44,10
20,PJKD3636590504173,кредитный,RUB,2020-07-04,570992.62,10
21,EEHI2678703238128,кредитный,RUB,2023-06-06,539466.93,10
22,OCZQ9935475211275,кредитный,RUB,1985-10-22,1471977.69,11
23,NHYP3114933108862,кредитный,RUB,2019-11-30,480349.93,11
24,BNXY5940038180364,кредитный,RUB,2006-03-24,68573.17,12
25,LWCV0021824140817,дебетовый,RUB,2022-10-20,829967.35,13
26,EQIN1687873214999,кредитный,RUB,1976-06-30,294287.67,14
27,AGVE0434743344210,дебетовый,RUB,2005-12-10,1250044.07,14
28,LCBZ0460104131355,кредитный,RUB,2001-05-23,1415196.82,14
29,XOSJ2072239567217,кредитный,RUB,2025-02-19,732931.65,15
30,ZYCW8989878776775,кредитный,RUB,2025-03-25,1099158.36,15
31,CGQP7123981893972,дебетовый,RUB,2025-05-31,819819.49,16
32,IQPH0451945586817,дебетовый,USD,2011-05-31,813205.28,16
33,IDRR0796403157585,дебетовый,RUB,1992-12-21,1258602.74,17
34,GSDY8536205449339,дебетовый,USD,2019-12-14,1002323.32,17
35,OCVS5406385670207,дебетовый,RUB,1990-03-17,1263817.08,17
36,CYLG7842055553544,дебетовый,RUB,2024-02-27,13712.19,18
37,OYQW9677888922100,кредитный,RUB,2023-07-09,926752.85,19
38,YEVV0409471124617,кредитный,RUB,2025-04-21,23597.65,19
39,VPRW0410486671864,кредитный,RUB,2024-12-05,794126.47,19
40,ENEY4470498671101,кредитный,RUB,2017-11-08,1219735.83,20
41,OOYA3325704430732,кредитный,RUB,2025-08-20,1364660.05,20
42,MVNY8997490304381,дебетовый,RUB,2011-07-04,361453.25,21
43,OTTX8992469247048,кредитный,RUB,2021-06-02,400987.11,22
44,DVGB1864323145651,кредитный,RUB,2009-10-03,1438946.69,22
45,ZDFO5917003437432,кредитный,RUB,2022-12-27,1485349.55,22
46,MZVP4053625123115,кредитный,RUB,1992-04-29,1271800.65,23
47,DUCD9020607136930,дебетовый,RUB,2003-08-07,568896.03,24
48,LEFC4426735384256,кредитный,RUB,1988-04-20,14175.26,24
49,DNDV5999442618455,дебетовый,RUB,1994-03-19,1267994.69,24
50,OYYK8268295081499,кредитный,RUB,2015-03-28,1286940.47,25
51,VJBF3235859358035,дебетовый,USD,2025-07-27,1378728.32,25
52,FQQA5075078197354,дебетовый,RUB,2022-08-22,1302175.34,25
53,ELFI7777444964930,кредитный,RUB,2018-04-22,1386238.9,26
54,NJZB0606988264862,кредитный,USD,2018-09-11,845264.8,26
55,LZLZ3779385460912,дебетовый,RUB,2023-11-05,1275641.4,26
56,AIAO2545396016099,дебетовый,RUB,1982-02-16,1128381.7,27
57,HEUX4707926251743,кредитный,USD,2024-04-21,448915.33,28
58,VMYB3250394398844,дебетовый,RUB,2011-11-19,1274163.64,28
59,EORS5236179496454,кредитный,RUB,2025-09-21,1109617.76,28
60,WTLO8127317427183,дебетовый,RUB,2011-11-29,1461484.99,29
61,EVIA2393627617640,дебетовый,RUB,1996-10-29,348216.01,29
62,BIXM5511286381105,дебетовый,RUB,2006-08-19,1153508.48,29
63,EWZE8920745952827,кредитный,EUR,1999-09-20,489564.97,30
64,NPPZ4239354337327,кредитный,RUB,2026-01-11,675825.29,30
65,GTNY9215100260772,дебетовый,RUB,2017-03-10,1411714.27,30
66,IGUU4869653715573,дебетовый,RUB,2009-09-30,991007.86,31
67,ALFA8983187309507,дебетовый,RUB,2011-03-27,443069.22,31
68,GHOO3129734148502,дебетовый,RUB,2020-08-16,231331.45,32
