client_id,last_name,first_name,patronymic,birth_date,passport_series,passport_number,passport_issued_by,address,phone,email
1,Цветков,Аким,Павловна,1988-11-24,9124,126225,ГУ МВД России по Краснодарский край,"клх Волоколамск, бул. Базарный, д. 1/1 стр. 933, 838637",84026542351,shcherbakovvaleri@example.com
2,Пахомов,Эрнест,Евсеевич,2003-01-21,4541,334053,ГУ МВД России по респ. Саха (Якутия),"г. Усть-Ишим, ш. Коммунаров, д. 11 к. 24, 164752",8 534 192 8327,opotapov@example.net
3,Быков,Елизавета,Зиновьевич,1983-04-15,2723,809570,ГУ МВД России по респ. Калмыкия,"с. Курильск, алл. Островского, д. 77, 242388",+79696532871,samolovavalerija@example.org
4,Филиппов,Екатерина,Федосьевич,1988-01-31,7921,719176,ГУ МВД России по респ. Марий-Эл,"д. Красногорск (Моск.), ш. Заречное, д. 684 стр. 346, 048281",+78932528809,selivan_01@example.com
5,Зимина,Леон,Демидович,2005-03-07,6414,131244,ГУ МВД России по респ. Калмыкия,"клх Ступино, ш. Кедровое, д. 97, 489638",+7 (465) 787-1331,adrian_98@example.org
6,Быков,Аверьян,Артёмович,1985-06-05,2137,343962,ГУ МВД России по респ. Калмыкия,"ст. Набережные Челны, пер. Ручейный, д. 8, 829973",8 (631) 165-66-70,semenovolimpi@example.net
7,Ефремова,Велимир,Денисович,1968-06-22,7487,127824,ГУ МВД России по Калужская обл.,"с. Ишим, пр. Ленский, д. 278 к. 280, 267736",+7 260 647 4687,evdokijaanisimova@example.org
8,Королева,Нина,Аскольдовна,1949-05-13,8135,850800,ГУ МВД России по респ. Коми,"д. Сосновый Бор, ш. Авиационное, д. 381 стр. 491, 193990",81699854353,nikola24@example.com
9,Бобылева,Полина,Артёмович,1966-11-25,9399,671412,ГУ МВД России по респ. Саха (Якутия),"д. Катайск, наб. Шахтерская, д. 2 стр. 55, 784980",8 (412) 411-8244,mefodiershov@example.net
10,Артемьева,Капитон,Юльевич,1988-07-18,6338,571029,ГУ МВД России по Чукотский АО,"клх Ревда (Сверд.), ул. Школьная, д. 3 к. 3, 868011",+7 (805) 982-62-04,andron_53@example.net
11,Ефимова,Варфоломей,Ильич,1962-05-14,8545,948749,ГУ МВД России по Ненецкий АО,"ст. Жигулевск, пр. Восточный, д. 75, 421607",+7 (375) 433-0365,arhip45@example.net
12,Лаврентьев,Евфросиния,Антоновна,1980-01-19,1030,832052,ГУ МВД России по Алтайский край,"п. Челябинск, ул. Приозерная, д. 6/6 к. 9/2, 934060",8 (835) 615-9514,leonid_2015@example.com
13,Константинов,Ирина,Ерофеевич,1967-08-01,6453,391369,ГУ МВД России по Калужская обл.,"клх Ивдель, пер. Мичурина, д. 9/1 стр. 5, 699577",8 (387) 214-89-51,leonidtsvetkov@example.org
14,Васильев,Аникита,Демьянович,1955-05-31,2937,900581,ГУ МВД России по Ненецкий АО,"с. Ярославль, алл. Серова, д. 7/4 стр. 20, 328708",+7 (172) 788-9579,parfen_2007@example.com
15,Филиппов,Октябрина,Харламович,2006-06-10,5323,197251,ГУ МВД России по Чукотский АО,"ст. Тотьма, бул. Волочаевский, д. 8 к. 543, 581223",8 231 665 87 60,pantelemonkolesnikov@example.net
16,Волков,Таисия,Вадимовна,1992-09-18,5822,476417,ГУ МВД России по Ямало-Ненецкий АО,"к. Охотск, пер. Проточный, д. 4/5 к. 8/1, 562729",8 (069) 901-6272,osipovamarina@example.com
17,Буров,Макар,Игоревич,1959-10-15,5487,377370,ГУ МВД России по Чукотский АО,"ст. Ведено, ул. Интернациональная, д. 4 к. 400, 092327",+7 937 452 99 12,velimir90@example.com
18,Мельникова,Назар,Тихонович,1984-07-26,1568,662275,ГУ МВД России по Брянская обл.,"клх Малоярославец, пер. Киевский, д. 758 стр. 2, 067165",8 (262) 849-87-76,ljubomir31@example.com
19,Мясников,Илья,Рубеновна,2005-05-19,2558,182627,ГУ МВД России по Ненецкий АО,"г. Тавда, алл. Советов, д. 55 к. 5, 808313",8 783 777 01 43,pisakova@example.com
20,Герасимова,Модест,Харламович,1990-07-26,8047,969693,ГУ МВД России по Приморский край,"клх Серафимович, наб. Ударная, д. 41 к. 2, 337498",84134352408,irinasoloveva@example.org
21,Логинов,Ия,Валерьянович,1983-01-15,9089,479201,ГУ МВД России по Еврейская АО,"с. Сосьва (Хант.), наб. Воронежская, д. 247 к. 267, 229413",+7 869 993 86 77,hariton64@example.net
22,Ковалев,Юлиан,Павловна,1987-08-24,8334,838797,ГУ МВД России по респ. Кабардино-Балкария,"клх Ведено, алл. Ангарская, д. 720, 974034",+77134936183,iraidasharapova@example.org
23,Ковалев,Григорий,Тимофеевна,1950-03-30,1815,793384,ГУ МВД России по Красноярский край,"с. Междуреченский, пр. Городской, д. 8/2 стр. 565, 139904",80278742967,voronovmilen@example.com
24,Носков,Дарья,Бориславович,1968-01-25,3947,183667,ГУ МВД России по Московская обл.,"к. Петухово, ул. Смирнова, д. 654 стр. 168, 603859",8 (703) 482-47-71,turovaeleonora@example.org
25,Филиппов,Леонтий,Афанасьевна,1993-09-07,3922,498591,ГУ МВД России по респ. Тыва,"п. Гагарин, ул. Сенная, д. 5/9 к. 7, 737826",+7 (982) 146-5840,marfa49@example.net
26,Смирнова,Геннадий,Филатович,1990-04-17,4568,766563,ГУ МВД России по Чукотский АО,"с. Москва, МГУ, бул. Волочаевский, д. 4/7, 576627",+7 289 517 1870,nadezhdabespalova@example.net
27,Алексеев,Рюрик,Станиславовна,1955-11-21,5630,488162,ГУ МВД России по Пермский край,"ст. Мыс Шмидта, ш. Максима Горького, д. 8 стр. 491, 316117",+7 (400) 504-55-62,tarastihonov@example.net
28,Кошелева,Дмитрий,Власович,1991-10-13,5536,802729,ГУ МВД России по Владимирская обл.,"с. Черкесск, алл. Кочубея, д. 8, 074821",8 (594) 647-43-67,frolovnaum@example.net
29,Захарова,Лавр,Михайловна,1969-10-23,4499,816751,ГУ МВД России по Алтайский край,"г. Ханты-Мансийск, ш. Клубное, д. 5/4 стр. 4, 942104",8 (095) 214-56-23,sofijashashkova@example.com
30,Козлова,Ким,Яковлевна,1981-07-05,9219,738720,ГУ МВД России по Курганская обл.,"клх Находка, пр. Фабричный, д. 73, 160481",8 (549) 651-37-09,makar_2011@example.org
31,Гусев,Александра,Юльевна,1989-06-16,9131,660086,ГУ МВД России по Чукотский АО,"п. Балтийск, наб. 8-е Марта, д. 913, 675869",+7 (617) 964-05-37,izmail1994@example.org
32,Зиновьев,Тихон,Ждановна,1992-01-17,4130,584714,ГУ МВД России по Алтайский край,"п. Горячий Ключ, ул. Сахалинская, д. 405 к. 49, 839335",+7 (904) 228-42-10,agafjaefimova@example.org
33,Юдин,Аггей,Всеволодович,1985-06-16,5844,771088,ГУ МВД России по Алтайский край,"д. Гагарин, ул. Металлургов, д. 6/9 стр. 478, 847007",8 617 711 59 21,irinaefremova@example.net
34,Ковалева,Лукия,Зиновьевич,1985-03-21,9881,330283,ГУ МВД России по Ненецкий АО,"д. Шенкурск, ул. Донская, д. 86 к. 66, 661565",+75271111615,tamarasemenova@example.net
35,Куликова,Максим,Кузьминична,1983-08-08,9751,983794,ГУ МВД России по респ. Мордовия,"ст. Белокуриха, пер. Труда, д. 2 к. 82, 158514",83689980940,iraidafilatova@example.com
36,Ларионов,Милий,Абрамович,2008-02-04,1739,961722,ГУ МВД России по Ивановская обл.,"п. Яшкуль, ул. Рыбацкая, д. 7/8, 254599",+7 022 901 47 67,pavel1988@example.org
37,Васильева,Викентий,Изотович,1996-10-04,1450,520651,ГУ МВД России по Еврейская АО,"д. Миасс, алл. Геологов, д. 503, 244510",8 (622) 683-88-51,vdementeva@example.org
38,Петров,Родион,Артемьевич,1975-01-26,4418,321231,ГУ МВД России по Приморский край,"к. Галич, ул. Механизаторов, д. 89 к. 2, 136968",+7 645 352 18 18,evlampi_2022@example.com
39,Архипова,Анжела,Эдуардовна,1969-04-11,8250,322955,ГУ МВД России по Костромская обл.,"к. Камень-на-Оби, пер. Амурский, д. 827, 995527",+7 774 490 58 14,radislav1972@example.org
40,Зимина,Конон,Артемьевич,1970-06-24,9373,514850,ГУ МВД России по респ. Хакасия,"д. Усть-Камчатск, ул. Химиков, д. 85 стр. 80, 518203",8 (788) 925-54-66,evfrosinija_90@example.net
41,Агафонов,Артемий,Игнатович,1989-06-07,9268,249811,ГУ МВД России по респ. Тыва,"к. Шелагонцы, наб. Широкая, д. 55, 291486",8 281 685 0542,matveblohin@example.com
42,Савельев,Всеслав,Витальевич,1958-06-14,4327,358607,ГУ МВД России по респ. Карелия,"клх Нарым, алл. Достоевского, д. 32 стр. 17, 537947",+7 (834) 735-9774,hnovikova@example.com
43,Прохорова,Евстигней,Феликсовна,1956-05-30,8178,375504,ГУ МВД России по Курганская обл.,"ст. Обоянь, ул. Свободная, д. 2 стр. 84, 613750",8 068 536 15 30,valerjan_52@example.org
